name,building_type,no_rooms,no_hall,area,age,address,price,date,lat,lon,timestamp
名校網 最筍3房筍盤推介,屋苑,3,2,1103,-1,港島 跑馬地 樂陶苑_B座,54000,07-05-2021,22.27107255,114.18687095961212,1.62035E+12
名校網 最筍2房低價實盤 超平筍盤,屋苑,2,2,375,-1,港島 灣仔 嘉寧大廈,15500,07-05-2021,22.282013550000002,114.18549064016912,1.62035E+12
優質知名校網 最筍2房樓齡新,屋苑,2,0,565,-1,港島 上環/中環 尚賢居,33000,07-05-2021,22.457260849999997,114.17654987892718,1.62035E+12
近地鐵站12名校網 最筍2房,屋苑,2,2,593,-1,港島 灣仔 嘉薈軒,37000,07-05-2021,22.27624405,114.1711172812316,1.62035E+12
名校網 最筍2房隨時睇樓,屋苑,2,2,435,-1,港島 灣仔 李節花園,16500,07-05-2021,22.2770011,114.1696179860368,1.62035E+12
最筍2房超平筍盤,屋苑,2,2,520,-1,港島 上環/中環 慧源閣,27000,07-05-2021,22.2758415,114.1731355,1.62035E+12
優質知名校網 最筍2房樓齡新,屋苑,2,0,650,-1,港島 西半山 瑧環,40000,07-05-2021,22.28681995,114.15101609988116,1.62035E+12
優質知名校網 開放式靚裝樓齡新,屋苑,-1,-1,658,-1,港島 上環/中環 尚賢居,42800,07-05-2021,22.457260849999997,114.17654987892718,1.62035E+12
最筍2房豪華靚裝,屋苑,2,2,991,-1,港島 西半山 峰景大廈,36000,07-05-2021,22.2787938,114.15146305525546,1.62035E+12
11名校網 最筍3房光猛企理,屋苑,3,2,921,-1,港島 西半山 信怡閣,46000,07-05-2021,22.2807576,114.15058087064412,1.62035E+12
最筍3房光猛企理,屋苑,3,0,811,-1,港島 西半山 The_Babington,41000,07-05-2021,22.2840719,114.1418996,1.62035E+12
最筍3房樓齡新 罕有放盤,屋苑,3,0,1534,-1,港島 香港仔 深灣9號_9座,80000,07-05-2021,22.248319799999997,114.15252411275256,1.62035E+12
近地鐵站最筍1房 樓齡新超平筍盤,屋苑,1,0,288,-1,港島 北角 君譽峰,17500,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
最筍3房光猛企理,屋苑,3,2,920,-1,港島 西半山 Conduit_18,48000,07-05-2021,22.2814045,114.1475008,1.62035E+12
近地鐵站最筍1房 樓齡新筍盤推介,屋苑,1,0,257,-1,港島 北角 君譽峰,18000,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
交通便利開放式靚裝 樓齡新睇樓從速,屋苑,-1,-1,181,-1,港島 北角 君譽峰,13000,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
最筍3房價格超抵手慢無 筍盤推介,屋苑,3,2,570,-1,港島 鰂魚涌 南豐新邨_11座,22000,07-05-2021,22.28193335,114.21468350377359,1.62035E+12
最筍2房低價實盤 隨時睇樓,屋苑,2,2,391,-1,港島 鰂魚涌 南豐新邨_12座,14000,07-05-2021,22.28193335,114.21468350377359,1.62035E+12
最筍1房罕有放盤,屋苑,1,1,333,-1,港島 上環/中環 莉景閣,20000,07-05-2021,22.28563015,114.1398130014204,1.62035E+12
近地鐵站開放式靚裝 樓齡新隨時睇樓,屋苑,-1,-1,205,-1,港島 北角 君譽峰,15000,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
最筍1房超平筍盤,屋苑,1,0,407,-1,港島 上環/中環 鴨巴甸街28號,28000,07-05-2021,22.2833535,114.1523696,1.62035E+12
名校網 最筍3房樓齡新 睇樓從速,屋苑,3,0,658,-1,港島 上環/中環 尚賢居,40000,07-05-2021,22.457260849999997,114.17654987892718,1.62035E+12
最筍2房低價實盤 乾淨舒適,屋苑,2,2,391,-1,港島 鰂魚涌 南豐新邨_03座,14000,07-05-2021,22.28193335,114.21468350377359,1.62035E+12
優質知名校網 最筍2房光猛企理,屋苑,2,2,511,-1,港島 上環/中環 百麗花園,25000,07-05-2021,22.2795756,114.15443324911647,1.62035E+12
優質知名校網 最筍3房罕有放盤,屋苑,3,2,1000,-1,港島 西半山 樂信臺_2座,40000,07-05-2021,22.28570945,114.14440019494815,1.62035E+12
名校網 開放式靚裝樓齡新 超平筍盤,屋苑,-1,-1,449,-1,港島 西半山 瑧環,30000,07-05-2021,22.28681995,114.15101609988116,1.62035E+12
臨近北角港鐵最筍1房 樓齡新,屋苑,1,1,263,-1,港島 北角 君譽峰,16000,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
最筍3房實用企理,屋苑,3,0,690,-1,港島 北角 The_Java,32000,07-05-2021,22.292037450000002,114.19973186782116,1.62035E+12
名校網 最筍1房筍盤推介,屋苑,1,1,379,-1,港島 跑馬地 駿愉居,25000,07-05-2021,22.26854125,114.18624699198114,1.62035E+12
交通便利開放式靚裝 樓齡新睇樓從速,屋苑,-1,-1,205,-1,港島 北角 君譽峰,12600,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
優質知名校網 最筍3房超平筍盤,屋苑,3,2,1002,-1,港島 跑馬地 翠谷樓,42000,07-05-2021,22.27073565,114.18516746438948,1.62035E+12
交通便利開放式靚裝 樓齡新光猛企理,屋苑,-1,-1,181,-1,港島 北角 君譽峰,12600,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
最筍1房罕有放盤,屋苑,1,2,399,-1,港島 北角 君悅華庭,22800,07-05-2021,22.2838815,114.19300075682816,1.62035E+12
近地鐵站開放式靚裝 樓齡新實用企理,屋苑,-1,-1,181,-1,港島 北角 君譽峰,11000,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
交通便利開放式靚裝 樓齡新乾淨舒適,屋苑,-1,-1,205,-1,港島 北角 君譽峰,12000,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
近地鐵站最筍2房 樓齡新睇樓從速,屋苑,2,1,365,-1,港島 北角 君譽峰,19000,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
臨近北角港鐵最筍1房 樓齡新,屋苑,1,1,250,-1,港島 北角 君譽峰,15800,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
